Chemical Name,CASRN,Exposure Route,Assessment Type,Critical Effect or Tumor Type,WOE Characterization,Toxicity Value Type,Toxicity Value
Acenaphthene,83-32-9,Oral,Noncancer,Hepatotoxicity,n/a,RfD,6x10-2 mg/kg-day
Acephate,30560-19-1,Oral,Noncancer,Inhibition of brain ChE,n/a,RfD,4x10-3 mg/kg-day
Acetaldehyde,75-07-0,Inhalation,Cancer,Nasal squamous cell carcinoma or adenocarcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,2.2x10-6 per ｵg/m3
Acetaldehyde,75-07-0,Inhalation,Noncancer,Degeneration of olfactory epithelium,n/a,RfC,9x10-3 mg/m3
Acetochlor,34256-82-1,Oral,Noncancer,"Salivation, increased ALT and ornithine carbamyl transferase; significant increases in triglyceride and decreased blood glucose levels; histopathological changes in kidneys and testes of males",n/a,RfD,2x10-2 mg/kg-day
Acetone,67-64-1,Oral,Noncancer,Nephropathy,n/a,RfD,9x10-1 mg/kg-day
Acetonitrile,75-05-8,Inhalation,Noncancer,Mortality,n/a,RfC,6x10-2 mg/m3
Acetophenone,98-86-2,Oral,Noncancer,General Toxicity,n/a,RfD,1x10-1 mg/kg-day
"Acifluorfen, sodium",62476-59-9,Oral,Noncancer,Mortality and kidney lesions,n/a,RfD,1.3x10-2 mg/kg-day
Acrolein,107-02-8,Inhalation,Noncancer,Nasal lesions,n/a,RfC,2x10-5 mg/m3
Acrolein,107-02-8,Oral,Noncancer,Decreased survival,n/a,RfD,5x10-4 mg/kg-day
Acrylamide,79-06-1,Oral,Noncancer,Degenerative nerve changes,n/a,RfD,2x10-3 mg/kg-day
Acrylamide,79-06-1,Inhalation,Noncancer,Degenerative nerve changes,n/a,RfC,6x10-3 mg/m3
